156,1182,"{64.0, 23.0}"
44,2106,"{89.0, 66.0, 90.0}"
145,1910,"{64.0, 26.0, 70.0, 23.0}"
84,2336,"{57.0, 34.0}"
95,2792,"{73.0, 34.0, 68.0}"
98,2756,"{73.0, 34.0, 99.0}"
66,1342,"{66.0, 23.0}"
90,2676,"{34.0, 68.0}"
92,3580,"{34.0, 68.0, 60.0}"
2,1346,{31.0}
26,654,{57.0}
105,1293,"{24.0, 29.0}"
25,706,{56.0}
11,1245,"{25.0, 100.0}"
85,2381,"{56.0, 34.0}"
80,2392,"{34.0, 75.0}"
93,3922,"{34.0, 68.0, 74.0}"
94,3205,"{25.0, 34.0, 75.0, 68.0}"
3,1750,"{25.0, 31.0}"
4,1150,{100.0}
18,706,{7.0}
106,1092,"{64.0, 24.0, 70.0}"
46,1556,{89.0}
79,3177,"{34.0, 74.0}"
157,8984,{101.0}
64,1901,"{64.0, 4.0, 23.0}"
154,1279,"{64.0, 70.0, 23.0}"
91,3042,"{24.0, 34.0, 68.0}"
153,1983,"{3.0, 29.0, 23.0}"
73,1320,{3.0}
87,2381,"{34.0, 60.0}"
100,2799,"{25.0, 34.0, 99.0}"
21,630,{65.0}
133,2476,"{89.0, 90.0, 7.0}"
107,1018,"{64.0, 24.0}"
23,706,{64.0}
29,742,{25.0}
160,9581,"{73.0, 75.0, 21.0}"
159,16772,"{65.0, 21.0, 101.0, 25.0}"
104,1920,"{24.0, 3.0, 29.0}"
144,2397,"{64.0, 26.0, 4.0, 23.0}"
new component
