59,976,"{1.0, 5.0, 54.0}"
144,2397,"{68.0, 42.0, 44.0, 54.0, 61.0}"
72,1564,"{51.0, 54.0, 26.0, 61.0, 31.0}"
48,1540,"{33.0, 41.0, 23.0, 56.0, 58.0}"
156,1182,"{68.0, 46.0, 44.0}"
145,1910,"{65.0, 68.0, 5.0, 44.0, 54.0, 61.0}"
93,3922,"{33.0, 70.0, 13.0, 19.0, 61.0}"
3,1750,"{33.0, 51.0, 31.0, 47.0}"
128,2260,"{1.0, 33.0, 36.0, 5.0, 10.0, 54.0, 30.0}"
32,846,{75.0}
74,896,"{26.0, 54.0}"
35,1776,"{33.0, 41.0, 10.0, 50.0, 56.0, 58.0, 30.0}"
90,2676,"{33.0, 19.0, 13.0, 70.0}"
108,1330,"{8.0, 33.0, 13.0, 23.0}"
44,2106,"{33.0, 26.0, 41.0, 23.0, 56.0, 58.0, 63.0}"
85,2381,"{73.0, 19.0, 13.0, 33.0}"
106,1092,"{65.0, 13.0, 44.0, 37.0}"
149,2217,"{8.0, 33.0, 5.0, 46.0}"
36,1753,"{33.0, 41.0, 10.0, 56.0, 58.0, 30.0}"
104,1920,"{37.0, 9.0, 13.0, 79.0, 26.0}"
14,706,{54.0}
77,1791,"{33.0, 51.0, 13.0}"
28,802,{2.0}
133,2476,"{1.0, 33.0, 54.0, 23.0, 63.0}"
23,706,{59.0}
151,2490,"{33.0, 5.0, 46.0, 19.0, 54.0}"
75,1280,"{33.0, 59.0, 36.0, 54.0}"
124,1124,"{2.0, 75.0, 5.0}"
143,1284,"{3.0, 5.0, 54.0}"
86,2381,"{33.0, 19.0, 13.0, 23.0}"
46,1556,"{33.0, 41.0, 23.0, 56.0, 58.0, 63.0}"
87,2381,"{56.0, 33.0, 19.0, 13.0}"
16,754,{34.0}
115,332,{50.0}
73,1320,"{9.0, 51.0, 54.0, 31.0}"
137,1624,"{1.0, 5.0, 54.0, 33.0}"
55,1412,"{1.0, 59.0, 54.0, 33.0}"
63,1312,"{68.0, 54.0, 31.0}"
2,1346,"{51.0, 47.0}"
129,1629,"{1.0, 33.0, 5.0, 8.0, 54.0}"
105,1293,"{13.0, 51.0, 37.0, 79.0}"
57,1412,"{1.0, 68.0, 54.0, 33.0}"
107,1018,"{13.0, 44.0, 37.0}"
65,1587,"{65.0, 68.0, 44.0, 54.0, 31.0}"
54,1412,"{73.0, 33.0, 54.0, 1.0}"
50,1105,"{56.0, 33.0, 58.0, 41.0}"
79,3177,"{33.0, 13.0, 19.0, 61.0}"
25,706,{73.0}
117,917,"{75.0, 5.0}"
52,1365,"{33.0, 41.0, 54.0, 56.0, 58.0}"
122,1202,"{75.0, 3.0, 5.0}"
98,2756,"{33.0, 19.0, 13.0, 41.0}"
136,1333,"{1.0, 54.0, 33.0}"
89,2381,"{33.0, 19.0, 13.0, 59.0}"
66,1342,"{26.0, 68.0, 54.0, 31.0}"
62,1094,"{33.0, 3.0, 54.0}"
94,3205,"{33.0, 70.0, 76.0, 13.0, 19.0}"
92,3580,"{33.0, 70.0, 13.0, 19.0, 56.0}"
88,2415,"{33.0, 34.0, 19.0, 13.0}"
53,1479,"{1.0, 26.0, 54.0, 33.0}"
110,685,{46.0}
153,1983,"{68.0, 9.0, 46.0, 79.0, 26.0}"
26,654,{26.0}
154,1279,"{65.0, 68.0, 5.0, 44.0, 46.0}"
64,1901,"{68.0, 42.0, 44.0, 54.0, 31.0}"
29,742,{76.0}
22,802,{3.0}
18,706,{23.0}
100,2799,"{33.0, 41.0, 76.0, 13.0, 19.0}"
91,3042,"{33.0, 37.0, 70.0, 13.0, 19.0}"
84,2336,"{33.0, 26.0, 19.0, 13.0}"
new component
