	sequence	url	index	user	output	labels	parameter	method	SubClass	Unnamed: 0.1	Unnamed: 0	id
417	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', '/u']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	417.0	417.0	60.0
980	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/timeline/data']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	980.0	980.0	127.0
1012	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/user/user1/editDescription', 'http://192.168.56.103:8080/user/user1/descriptionform']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	1012.0	1012.0	131.0
1020	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/user/user1/api/', 'http://192.168.56.103:8080/me/api/xml?tree=jobsname,viewsname,jobsname', 'http://192.168.56.103:8080/me/api/xml?tree=jobs%5bname%5d,views%5bname,jobs%5bname%5d%5d']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	1020.0	1020.0	132.0
1077	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/view/all/builds', 'http://192.168.56.103:8080/view/all/timeline/data']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	1077.0	1077.0	138.0
1093	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/cc.xml?recursive', 'http://192.168.56.103:8080/view/all/timeline/data']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	1093.0	1093.0	140.0
1107	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/cc.xml', 'http://192.168.56.103:8080/view/all/timeline/data']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		post	0.0	1107.0	1107.0	142.0
360	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/api/', '/']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	360.0	360.0	53.0
369	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/projectRelationship', '/']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	369.0	369.0	54.0
378	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/fingerprintCheck', '/']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	378.0	378.0	55.0
387	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/view/all/builds', '/']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	387.0	387.0	56.0
396	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', '/', 'http://192.168.56.103:8080/computer/', '/']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	396.0	396.0	57.0
405	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/cc.xml?recursive']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	405.0	405.0	58.0
411	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/cc.xml']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	411.0	411.0	59.0
974	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/my-views/view/all/__history__.html?0']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	974.0	974.0	126.0
986	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/user/user1/credentials', 'http://192.168.56.103:8080/user/user1/credentials/store/user/domain/_/', 'http://192.168.56.103:8080/user/user1/credentials/store/user/domain/_/newCredentials', 'http://192.168.56.103:8080/user/user1/descriptorbyname/com.cloudbees.plugins.credentials.impl.usernamepasswordcredentialsimpl/checkid?value=&$provider=com.cloudbees.plugins.credentials.credentialsselecthelper%24usercontextresolver&$token=user1']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	2.0	986.0	986.0	128.0
996	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/user/user1/configure', 'http://192.168.56.103:8080/user/user1/descriptorbyname/org.jenkinsci.main.modules.cli.auth.ssh.userpropertyimpl/checkauthorizedkeys?value=']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	3.0	996.0	996.0	129.0
1004	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/user/user1/configure', 'http://192.168.56.103:8080/user/user1/my-views/viewexistscheck?value=&exists=true']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	3.0	1004.0	1004.0	130.0
1029	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/asynchPeople/', 'http://192.168.56.103:8080/user/manage_domains', 'http://192.168.56.103:8080/user/manage_domains/builds', 'http://192.168.56.103:8080/user/manage_domains/rssFailed', 'http://192.168.56.103:8080/user/user100gagpg/builds']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	3.0	1029.0	1029.0	133.0
1040	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/asynchPeople/', 'http://192.168.56.103:8080/user/manage_domains', 'http://192.168.56.103:8080/user/manage_domains/builds', 'http://192.168.56.103:8080/user/manage_domains/my-views', 'http://192.168.56.103:8080/user/user100spual/', 'http://192.168.56.103:8080/user/user100spual/my-views/view/all']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	3.0	1040.0	1040.0	134.0
1045	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/asynchPeople/', 'http://192.168.56.103:8080/user/manage_domains', 'http://192.168.56.103:8080/user/manage_domains/builds', 'http://192.168.56.103:8080/user/manage_domains/my-views', 'http://192.168.56.103:8080/user/user100spual/', 'http://192.168.56.103:8080/user/user100spual/my-views/view/all']	http://192.168.56.103:8080/user/manage_domains/my-views	9.0	user1	dashboard user view people build history project relationship check file fingerprint build queue build queue build executor status master idle idle slave offline	0.0		get	1.0	1045.0	1045.0	134.0
1047	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/asynchPeople/', 'http://192.168.56.103:8080/user/manage_domains', 'http://192.168.56.103:8080/user/manage_domains/builds', 'http://192.168.56.103:8080/user/manage_domains/my-views', 'http://192.168.56.103:8080/user/user100spual/', 'http://192.168.56.103:8080/user/user100spual/my-views/view/all']	http://192.168.56.103:8080/user/user100spual/my-views/view/all	11.0	user1	dashboard user view people build history project relationship check file fingerprint build queue build queue build executor status master idle idle slave offline	0.0		get	1.0	1047.0	1047.0	134.0
1052	['http://192.168.56.103:8080/', '/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/me/my-views', 'http://192.168.56.103:8080/user/user1/my-views/view/all/builds', 'http://192.168.56.103:8080/user/user1/', 'http://192.168.56.103:8080/', 'http://192.168.56.103:8080/opensearch.xml']	http://192.168.56.103:8080/user/user1/my-views/view/all/builds	4.0	user1	user view people build history project relationship check file fingerprint new view build queue build queue build executor status master idle idle slave offline	0.0		get	3.0	1052.0	1052.0	135.0
