	sequence	url	index	user	method	output	parameter	id
0	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/site-settings', 'http://192.168.56.105/index.php/site-settings']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		2
1	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/site-settings', 'http://192.168.56.105/index.php/site-settings']	http://192.168.56.105/index.php	1	admin	post	uncategorised su facebooks could misused user administrator template super user	(admin,adminPass)	2
2	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/site-settings', 'http://192.168.56.105/index.php/site-settings']	http://192.168.56.105/index.php/site-settings	2	admin	get	save cancel namei offline yes default access level public guest registered special super user public default list limit metadata meta description test meta keywords content right seo engine friendly url yes name page title su facebooks could misused user administrator template super user		2
3	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/site-settings', 'http://192.168.56.105/index.php/site-settings']	http://192.168.56.105/index.php/site-settings	3	admin	post	uncategorised su facebooks could misused user administrator template super user		2
4	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		1
5	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator/index.php	1	admin	post	error call member function format null system control panel global configuration global checkin clear cache clear expired cache system information user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension manage install update manage discover database warning install language update site module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop super user edit account logout error error occurred call member function format null return control panel	(admin,adminPass)	1
6	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator/index.php/#	2	admin	get	error call member function format null system control panel global configuration global checkin clear cache clear expired cache system information user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension manage install update manage discover database warning install language update site module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop super user edit account logout error error occurred call member function format null return control panel		1
7	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator/index.php?option=com_tags	3	admin	get	administration skip main content control panel system control panel global configuration global checkin clear cache clear expired cache system information user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension manage install update manage discover database warning install language update site module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop user super user edit account logout toolbar main content begin new edit publish unpublish archive checkin batch trash option tool clear sort table ordering ascending ordering descending status ascending status descending title ascending title descending access ascending access descending language ascending language descending id ascending id descending ordering ascending select status trashed unpublished published archived select status select access public guest registered special super user select access select language english engb select language select max level select max level select type select type status title access language id action archive trash alias public action su archive trash su alias su super user action registered archive trash registered alias registered registered action special archive trash special alias special special action forsu archive trash forsu alias forsu super user batch process selected set language keep original language english engb keep original language set access level keep original access level public guest registered special super user keep original access level cancel process iii view visitor administrator message log		1
8	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator/index.php?option=com_tags&view=tags	4	admin	post	new administration skip main content control panel system user menu content component extension help user new toolbar main content begin save save save new cancel titlei alias detail option image publishing description edit insert view format table tool format paragraph time new roman pt image pwords parent none su registered special forsu none status published unpublished archived trashed access public guest registered special super user public language english engb note version note layout use global default compact layout use global cs class link teaser image change image cancel select float select option right left none select option alt caption full image change image cancel select float select option right left none select option alt caption created date created select user cancel author alias modified date modified hit id meta description meta keywords robot use global index follow index follow index follow index follow use global iii view visitor administrator message log		1
9	['http://192.168.56.105/administrator', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php/#', 'http://192.168.56.105/administrator/index.php?option=com_tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tags', 'http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit', 'http://192.168.56.105/administrator/index.php?option=com_tags&layout=edit&id=0']	http://192.168.56.105/administrator/index.php?option=com_tags&view=tag&layout=edit	5	admin	get	new administration skip main content control panel system user menu content component extension help user new toolbar main content begin save save save new cancel titlei alias detail option image publishing description edit insert view format table tool format paragraph time new roman pt image pwords parent none su registered special forsu none none su registered special forsu status published unpublished archived trashed access public guest registered special super user public language english engb note version note layout use global default compact layout use global cs class link teaser image change image cancel select float select option right left none select option alt caption full image change image cancel select float select option right left none select option alt caption created date created select user cancel author alias modified date modified hit id meta description meta keywords robot use global index follow index follow index follow index follow use global iii view visitor administrator message log		1
