154,1279,"{10.0, 78.0, 111.0, 114.0, 82.0}"
25,706,{123.0}
108,1330,"{60.0, 13.0}"
71,1588,{38.0}
32,846,{126.0}
128,2260,"{65.0, 2.0, 10.0, 15.0, 56.0}"
56,1412,"{2.0, 91.0, 93.0}"
148,2387,"{81.0, 10.0, 82.0, 13.0}"
151,2490,"{10.0, 80.0, 81.0, 82.0, 91.0}"
124,1124,"{8.0, 4.0, 126.0}"
87,2381,{97.0}
120,1644,"{100.0, 10.0, 125.0, 126.0, 127.0}"
40,2028,"{41.0, 50.0, 99.0}"
14,706,{90.0}
153,1983,"{82.0, 133.0, 14.0, 114.0}"
42,2106,"{96.0, 74.0, 99.0, 39.0}"
51,1278,"{96.0, 75.0, 74.0, 99.0}"
35,1776,"{96.0, 99.0, 74.0, 15.0, 86.0, 56.0}"
119,1162,"{44.0, 125.0, 126.0, 127.0}"
45,2469,"{96.0, 97.0, 99.0, 74.0, 106.0}"
117,917,"{10.0, 126.0, 127.0}"
115,332,"{43.0, 86.0}"
133,2476,"{106.0, 39.0}"
54,1412,"{2.0, 123.0, 93.0}"
114,473,"{120.0, 43.0, 86.0}"
28,802,{4.0}
110,685,{81.0}
57,1412,"{2.0, 93.0, 114.0}"
59,976,"{9.0, 2.0}"
132,1908,"{41.0, 50.0}"
62,1094,{60.0}
147,1944,"{104.0, 38.0}"
55,1412,"{2.0, 100.0, 93.0}"
107,1018,"{66.0, 78.0}"
23,706,{100.0}
149,2217,"{8.0, 81.0, 82.0, 13.0}"
145,1910,"{104.0, 10.0, 78.0, 111.0, 114.0}"
73,1320,{14.0}
75,1280,"{65.0, 100.0}"
50,1105,"{96.0, 74.0, 99.0}"
144,2397,"{104.0, 114.0, 76.0, 78.0}"
26,654,{51.0}
130,1759,"{9.0, 13.0}"
139,1163,"{9.0, 10.0}"
129,1629,"{10.0, 13.0}"
104,1920,"{120.0, 66.0, 133.0, 14.0}"
150,1900,"{80.0, 81.0, 82.0, 44.0}"
53,1479,"{2.0, 51.0, 93.0}"
52,1365,"{96.0, 99.0, 74.0, 75.0, 90.0}"
105,1293,"{66.0, 133.0}"
74,896,{50.0}
64,1901,"{114.0, 76.0, 78.0}"
137,1624,"{10.0, 91.0, 93.0}"
36,1753,"{96.0, 99.0, 74.0, 15.0, 56.0}"
46,1556,"{96.0, 74.0, 99.0, 106.0}"
156,1182,"{44.0, 78.0, 81.0, 82.0, 114.0}"
136,1333,"{44.0, 93.0}"
106,1092,"{66.0, 78.0, 111.0}"
new component
