122,1202,"{50.0, 3.0, 15.0}"
18,706,{9.0}
53,1479,"{57.0, 10.0}"
107,1018,"{8.0, 35.0, 38.0}"
66,1342,"{10.0, 51.0, 38.0}"
145,1910,"{35.0, 38.0, 50.0, 52.0, 63.0}"
84,2336,"{8.0, 10.0, 26.0}"
79,3177,"{8.0, 26.0, 52.0}"
129,1629,"{57.0, 50.0, 23.0}"
143,1284,"{50.0, 4.0}"
28,802,{2.0}
90,2676,"{8.0, 66.0, 26.0}"
144,2397,"{35.0, 11.0, 52.0, 38.0}"
25,706,{80.0}
86,2381,"{8.0, 9.0, 26.0}"
26,654,{10.0}
88,2415,"{8.0, 26.0, 21.0}"
22,802,{3.0}
147,1944,"{10.0, 68.0, 52.0}"
72,1564,"{10.0, 51.0, 68.0, 44.0}"
91,3042,"{8.0, 66.0, 26.0, 38.0}"
149,2217,"{50.0, 23.0, 55.0}"
29,742,{67.0}
94,3205,"{8.0, 26.0, 67.0, 66.0}"
151,2490,"{50.0, 26.0, 55.0}"
32,846,{15.0}
93,3922,"{8.0, 66.0, 26.0, 52.0}"
133,2476,"{73.0, 58.0, 9.0, 57.0}"
153,1983,"{36.0, 70.0, 38.0, 10.0, 55.0}"
46,1556,"{9.0, 58.0}"
54,1412,"{80.0, 57.0}"
104,1920,"{36.0, 38.0, 70.0, 8.0, 10.0}"
100,2799,"{8.0, 26.0, 67.0}"
115,332,{44.0}
16,754,{21.0}
73,1320,"{51.0, 36.0, 68.0}"
117,917,"{50.0, 15.0}"
154,1279,"{35.0, 38.0, 50.0, 55.0, 63.0}"
105,1293,"{8.0, 70.0, 68.0, 38.0}"
57,1412,"{57.0, 38.0}"
156,1182,"{35.0, 38.0, 55.0}"
106,1092,"{8.0, 35.0, 38.0, 63.0}"
2,1346,"{68.0, 47.0}"
62,1094,{4.0}
110,685,{55.0}
85,2381,"{8.0, 26.0, 80.0}"
59,976,"{57.0, 50.0}"
3,1750,"{51.0, 68.0, 47.0}"
64,1901,"{38.0, 51.0, 11.0, 35.0}"
108,1330,"{8.0, 9.0, 23.0}"
63,1312,"{51.0, 38.0}"
44,2106,"{73.0, 10.0, 58.0, 9.0}"
20,802,{70.0}
65,1587,"{35.0, 51.0, 38.0, 63.0}"
124,1124,"{2.0, 50.0, 15.0}"
new component
