48,1540,{92.0}
59,976,{1.0}
2,1346,{115.0}
129,1629,{4.0}
128,2260,"{4.0, 31.0, 86.0, 95.0}"
124,1124,"{8.0, 9.0, 113.0}"
139,1163,"{1.0, 2.0}"
36,1753,"{31.0, 95.0}"
55,1412,"{121.0, 149.0}"
3,1750,"{82.0, 115.0, 92.0}"
56,1412,"{121.0, 122.0}"
136,1333,{121.0}
117,917,"{113.0, 2.0}"
75,1280,"{149.0, 86.0}"
28,802,{9.0}
5,1584,{114.0}
25,706,{151.0}
35,1776,"{82.0, 31.0, 95.0}"
120,1644,"{8.0, 113.0, 114.0}"
32,846,{113.0}
137,1624,"{121.0, 2.0, 122.0}"
54,1412,"{121.0, 151.0}"
new component
104,1920,"{98.0, 11.0}"
73,1320,{98.0}
20,802,{11.0}
new component
