runs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Lev_Kmeans_Kmeans,32,22,21,22,23,27,32,28,30,26,28,23,21,22,23,27,24,28,24,23,28,28,25,28,25,19,27,32,28,30,26,28,27,28,32,22,21,22,23,27,32,28,30,26,28,23,21,22,23,24
Lev_Kmeans_DBSCAN,25,17,16,16,17,32,32,19,20,22,25,17,16,16,17,18,18,19,19,19,19,19,20,21,19,17,32,32,19,20,22,25,22,20,25,17,16,16,17,32,32,19,20,22,25,17,16,16,17,18
Lev_Kmeans_HDBSCAN,20,17,17,17,17,18,23,18,20,20,21,17,17,17,17,17,17,19,18,18,19,18,19,19,18,16,18,23,18,20,20,21,18,18,20,17,17,17,17,18,23,18,20,20,21,17,17,17,17,17
Lev_DBSCAN_Kmeans,26,21,20,22,22,21,22,25,25,22,24,22,20,22,22,25,23,25,23,20,25,20,23,22,20,19,21,22,25,25,22,24,25,23,26,21,20,22,22,21,22,25,25,22,24,22,20,22,22,23
Lev_DBSCAN_DBSCAN,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Lev_DBSCAN_HDBSCAN,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15
Lev_HDBSCAN_Kmeans,24,21,20,20,19,20,19,22,21,24,21,19,20,20,19,21,19,20,19,24,20,24,20,22,23,22,20,19,22,21,24,21,22,25,24,21,20,20,19,20,19,22,21,24,21,19,20,20,19,19
Lev_HDBSCAN_DBSCAN,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16
Lev_HDBSCAN_HDBSCAN,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,16,16,16,16,16,15,15,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Bag_Kmeans_Kmeans,23,22,21,22,21,25,26,25,28,25,27,21,21,22,21,23,23,25,24,28,26,28,33,34,28,19,25,26,25,28,25,27,23,22,23,22,21,22,21,25,26,25,28,25,27,21,21,22,21,23
Bag_Kmeans_DBSCAN,18,17,16,16,16,18,19,18,18,20,18,16,16,16,16,18,18,19,19,20,20,19,20,25,20,17,18,19,18,18,20,18,19,18,18,17,16,16,16,18,19,18,18,20,18,16,16,16,16,18
Bag_Kmeans_HDBSCAN,17,17,17,17,17,18,19,19,19,20,19,17,17,17,17,19,18,18,18,20,19,19,22,25,20,17,18,19,19,19,20,19,18,17,17,17,17,17,17,18,19,19,19,20,19,17,17,17,17,18
Bag_DBSCAN_Kmeans,21,20,25,19,21,19,22,24,28,21,28,21,25,19,21,24,23,34,25,22,34,21,22,22,24,21,19,22,24,28,21,28,19,22,21,20,25,19,21,19,22,24,28,21,28,21,25,19,21,23
Bag_DBSCAN_DBSCAN,16,16,16,15,15,15,16,16,16,15,16,15,16,15,15,16,16,16,16,19,19,17,16,17,19,16,15,16,16,16,15,16,16,16,16,16,16,15,15,15,16,16,16,15,16,15,16,15,15,16
Bag_DBSCAN_HDBSCAN,16,17,19,16,16,16,17,17,17,16,16,16,19,16,16,16,16,19,17,19,19,17,16,17,19,16,16,17,17,17,16,16,16,16,16,17,19,16,16,16,17,17,17,16,16,16,19,16,16,16
Bag_HDBSCAN_Kmeans,18,20,19,18,21,22,24,23,26,22,21,21,19,18,21,19,19,19,19,24,20,22,20,24,24,32,22,24,23,26,22,21,18,19,18,20,19,18,21,22,24,23,26,22,21,21,19,18,21,19
Bag_HDBSCAN_DBSCAN,15,16,15,15,15,15,15,17,17,15,15,15,15,15,15,15,15,15,15,17,15,15,17,17,17,23,15,15,17,17,15,15,15,15,15,16,15,15,15,15,15,17,17,15,15,15,15,15,15,15
Bag_HDBSCAN_HDBSCAN,16,16,16,16,16,16,16,17,18,16,16,16,16,16,16,16,16,16,16,17,16,16,16,19,17,23,16,16,17,18,16,16,16,16,16,16,16,16,16,16,16,17,18,16,16,16,16,16,16,16
